V0	Vf	V_sent	D	dt
-3.391134	-0.006355	0.000000	609.062012	0.306990	403.000000
-3.164710	-0.004917	0.000000	557.344096	0.297507	404.000000
-2.976164	-0.010349	0.000000	518.300334	0.296333	405.000000
-2.792071	-0.027470	0.000000	455.422099	0.270002	406.000000
-2.555181	-0.010494	0.000000	401.261759	0.268335	407.000000
-2.374883	-0.015066	0.000000	378.917009	0.257520	408.000000
-2.186057	-0.007271	0.000000	320.258667	0.240662	409.000000
-1.990789	-0.003214	0.000000	284.526886	0.234667	410.000000
-1.765953	-0.010126	0.000000	248.435410	0.229339	411.000000
-1.589489	-0.037036	0.000000	212.182645	0.207665	412.000000
-1.390377	-0.012458	0.000000	175.944839	0.205659	413.000000
-1.178832	-0.010397	0.000000	153.530423	0.183232	414.000000
-0.957144	-0.021497	0.000000	116.820727	0.171336	415.000000
-0.769044	-0.008321	0.000000	87.503399	0.152995	416.000000
-0.584314	-0.019955	0.000000	65.449712	0.151487	417.000000
-0.361232	-0.028114	0.000000	37.199789	0.129328	418.000000
-0.170014	-0.028233	0.000000	17.857742	0.114999	419.000000
0.159513	0.028366	0.000000	16.949135	0.117336	420.000000
